,P_abs,T_l,A_l,V_gc_ind,FqFm,R_ch,L_air,L_epidermis,Vac_frac,T,R,N_gcs,n,m,r,s,C_apo,A_closed,A_open,ATPase
0,0.9176909961265183,0.00019674668566711388,1.0,8.232099057756282e-13,0.8373757834777432,0.12136249391274814,0.3636857420864884,0.12439512031933495,0.7973313844526152,293.29121202236865,0.08205,475649781.8726541,1.8299317519373652,0.8554916261663433,7.521822948474985e-14,2.6827727603404674e-13,0.02590011868980867,2.6542147711141117,7.513602195524161,0.8428511553860228
1,0.8812611103776792,0.0002283886797518748,1.0,2.907332947009323e-12,0.8510597727786492,0.06824506592747043,0.3482042884803033,0.1702609467508322,0.7920087976477992,291.69852173082313,0.08205,726726057.628291,2.1943352058357477,0.8532192838296323,5.213650960245694e-14,2.8481445441292246e-13,0.02704576099398496,3.830201937776639,8.080839206352103,14.923672890063719
2,0.872031457137046,0.000177527504280497,1.0,8.784093748424216e-13,0.8167839721032262,0.15643802997159983,0.2498266028727687,0.1301940153234363,0.7808521545150188,285.3354595600365,0.08205,1037299771.3801006,2.439879564150438,0.9016504165473912,5.5507867326785586e-14,2.612668660899211e-13,0.026224425192962007,2.9449079639673297,6.051611164459429,1.5662973485108151
3,0.9451860298972298,0.00017183053640092025,1.0,1.031565788056513e-12,0.8416613219117354,0.15071718563169814,0.29812504681531304,0.21374408481333018,0.7942299141225946,292.2309713294147,0.08205,723167058.4307406,1.6517345130517587,0.9117392385202209,5.1124945630740635e-14,2.598802308666984e-13,0.027431595517782376,3.0840812715795884,11.95440859811978,1.6157916745815015
4,0.8731523624569439,0.0002027914935113362,1.0,1.7483352323215528e-12,0.8294331222342455,0.14423418261041848,0.34228169987631285,0.14942368198910644,0.8235669899989476,286.04098858699297,0.08205,287731565.8304605,2.056711665661897,0.8406175602705463,7.458149808891064e-14,1.9081105386525092e-13,0.035754309733906746,1.9268584868324685,10.939009264009533,0.21585251092314728
5,0.968372594587048,0.00018511475835568262,1.0,3.774477532710169e-12,0.8792775118041429,0.13245949816398536,0.3228891725651423,0.20196710441668728,0.7691519861769861,289.01185643829217,0.08205,336225308.92892027,1.7994464040507763,0.9772856538030363,5.867899336110918e-14,2.1256964165013544e-13,0.03318690493047648,1.0034339176503784,6.67048205206345,6.830903757734872
6,0.845068582499171,0.00018404247505940236,1.0,3.1533829822171433e-12,0.8391454041804449,0.06467599116125752,0.27788078617448847,0.1801116520097416,0.7844752638505275,297.4065191737568,0.08205,832044612.6797659,1.5289855561509451,0.8197226643610798,6.027773425226935e-14,1.795102487248294e-13,0.03246405142801422,3.429332555659458,7.445486812157047,6.884957778016651
7,0.8664596465773784,0.0001929206574299387,1.0,1.8272751005637655e-12,0.8201339064835108,0.05526262747109777,0.19917223747783327,0.17281236363887614,0.7535535130111393,291.38143445199364,0.08205,476692615.9444557,2.473238366356085,0.9107485704798605,6.997615649658714e-14,2.970874538234653e-13,0.03442254056220499,2.4360208573169695,4.327456151240126,7.786660297676064
8,0.8604402805043434,0.00023768533212739385,1.0,1.5259504164957802e-12,0.891613046553953,0.06442920491443363,0.3467819602703783,0.1583994461611414,0.7785109682691852,291.32693603126097,0.08205,487900925.72882634,2.0200065724225293,0.9869156439685272,5.3837087413433634e-14,2.6037509363665747e-13,0.031587538362878094,3.3729327527393096,7.070287903219709,10.19836609977246
9,0.8512461777171123,0.00019124328573773446,1.0,3.394963712356805e-12,0.8959041661443149,0.0953966796211531,0.23744988185142094,0.15507064853297237,0.8450934639097993,296.9195020404117,0.08205,265680593.04474786,2.4634075255082157,0.9115226563041883,5.6562277164207135e-14,2.9960424321483876e-13,0.02366222522214985,2.424726914775658,4.617759817134196,10.162398276000436
